question	choices	answer	subject
Lakkoofsa hima 48 irra 88=? irra 11 dhugoomsu barbaadi.	['6', '11', '8', '5']	A	elementary_mathematics
Bittaa gaariin isa kami?	['Saamunaa 10 $23.20n', 'Saamunaa 16 $36.48n', 'Saamunaa 13 $29.51n', 'Saamunaa 12 $27.60n']	C	elementary_mathematics
Dha’annaan onnee Trish yeroo boqonnaa daqiiqaa tokkotti dha’annaa 50 dha. Daqiiqaa sochii qaamaa gootu hundaaf dha'annaan onnee ishee daqiiqaa tokkotti dha'annaa 5 dabalaa deema. Daqiiqaa tokkotti dha'annaa onnee 120 ga'uuf yeroo hangamii ishee fudhata?	['Daqiiqaa 5', 'Daqiiqaa 14', 'Daqiiqaa 34', 'Daqiiqaa 70']	B	elementary_mathematics
Midiyaaniin ykn Gidduugaleessa tuuta daataa kanaa barbaadi 23, 13, 18, 29, 32, 25.	['18', '24', '25', '29']	B	elementary_mathematics
Jaak muka appilii tokko irraa appilii 60 fudhate. Isaan keessaa 12 fayyadamee suugoo applilii  hojjeta. Inni applilii hafe walqixa korojoo kennaa 6 keessa kaa'a. Lakkoofsa appilii, a, kan Jaak tokkoon tokkoon korojoo kennaa keessa kaa’u murteessuuf hima walqixaa kam fayyadamuu danda'ama?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics
Kaartaan murtaa'e tokko iskeelii inchii 1 maayilii 25 wajjiin wal qixa fayyadama. Kaartaa kana irratti maayiliiwwan meeqa inchii 5n bakka bu'a?	['5', '25', '50', '125']	D	elementary_mathematics
(2 + 5)^2 − 42 salphisi	['7', '16', '30', '33']	A	elementary_mathematics
Gatii 4 ÷ 2 • 2 + 8 − 4 barbaadi	['-12', '12', '8', '16']	C	elementary_mathematics
Leenjisaan tokko lakkoofsa fiigdota dorgommii tiraakii irratti argaman gara 10 dhiyootti naanneesse.Lakkoofsi fiigdotaa naanneffamee 400. Lakkoofsa kamtu lakkoofsa fiigdota dhugaa dorgommii tiraakii irratti argaman ta’uu danda’a?	['382', '397', '406', '447']	B	elementary_mathematics
−4 + ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics
Maarqos walitti qabama chaappaa qaba. Inni Chaappaa Jaappaan irraa 22, Kaanaadaa irraa 34, Meeksikoo irraa 17 qaba. Walumaagalatti chaappaa meeqa qaba?	['53', '63', '73', '83']	C	elementary_mathematics
Hima walqixaa x + 2.7 = 8.4f lakkoofsota kennaman irraa furmaata adda baasi.  	['11.1', '5.7', '3.7', '22.68']	B	elementary_mathematics
Lakkoofsa hima  0.32 g = _ cg dhugoomsu barbaadi.	['32', '3.2', '3,200', '320']	A	elementary_mathematics
Amala raabsamaa fayyadamuun sammuutti baay'ataa 5.7(8) barbaadi.	['46.4', '456', '4.56', '45.6']	D	elementary_mathematics
Gaheen hima 2,314 / 4 maal ta'a?	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics
Roozaan fiigicha waliigalaa maayilii 100 ji'a kana keessa fiiguuf kaayyoo qabdi.Guyyaa hunda fiigdutti maayilii 5 fiigdeetti. Roozaan guyyoota d erga fiigdee booda maayiiliin meeqa akka ishee hafe murteessuuf hima kam fayyadamuu dandeessi ture?	['100 — 5d', '5d+ 100', '100 / 5d', '5d']	A	elementary_mathematics
Hima aljebraa gaalee jechaa kana wajjin walsimu adda baasi: qaruuraa Toom walitti qabe dachaa 4.	['4t', 't irra4', 't − 4', 't + 4']	A	elementary_mathematics
Andireew lakkoofsa 186,425 jedhu gabatee irratti barreesse. Lakkoofsa kam keessatti gatiin dijiitii 6 sirriitti dachaa 10 gatii dijiitii 6 lakkoofsa Andireew barreesse ta’a?	['681,452', '462,017', '246,412', '125,655']	B	elementary_mathematics
123/8 meeqa ta'a?	['15 gahee hafteen 7', '15 gahee hafteen 3', '16 gahee hafteen 5', '16 gahee hafteen 1']	B	elementary_mathematics
8 fi 2 irra 4 firaakshinii sirrii hin ta'iiniin bifa salphaan barreessi.	['17 irra 2', '34 irra 4', '17 irra 4', '19 irra 2']	A	elementary_mathematics
Hima kamtu bifa baballisuutiin  270,240 ibsuu danda'a?	['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']	C	elementary_mathematics
Hojjettuun sarara walitti qabaa irraa kutaalee 22 oomishuuf sa’aatii 7 itti fudhatte. Saffisa sanaan sa’aatii 35 keessatti kutaalee meeqa oomishuuf dandeessi?	['kutaalee 220', 'kutaalee 770', 'kutaalee 4', 'kutaalee 110']	D	elementary_mathematics
Abeen giddugaleessaa fi miidiyaanii tarree lakkoofsota kanaa argateera. 1, 3, 3 Yoo lakkoofsi 6 tarree irratti dabalame, sana booda	"['giddugaleessi ni dabala ture', ""giddugaleessi ni hir'ata ture."", 'miidiyaaniin ni dabala ture.', ""miidiyaaniin ni hir'ata ture.""]"	A	elementary_mathematics
Yoo n=11 t'e, gatiin 10 – (n + 6)? meeqa ta'a?	['-7', '5', '7', '27']	A	elementary_mathematics
Himni gaalee armaan gadii kana bakka bu’u isa kami? Lakkoofsa p irraa 3dhaan xiqqoo	['3-p', 'p+3', '3/p', 'p-3']	D	elementary_mathematics
Tiyaatirichi fiilmiidhaaf tokkoon tokkoon tikkeettii  gurgurame irraa doolaara 6 walitti qaba ture. Tiyaatirri kun tikkeettii fiilmichaa 500 gurgureera. Hima armaan gadii kanaan tiyaatirri sun tikkeettiidhaaf maallaqa meeqa akka walitti qabe baruuf ni danda’ama. 6 × 500 hima kam fayyadamuun maallaqa meeqa tiyaatirri tikkeettiidhaaf walitti qabe argachuufis ni danda’ama?	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	elementary_mathematics
Haa jennu 12-9+c=12. Gatii c kamtu hima walqixicha dhugoomsa?	['0', '3', '9', '12']	C	elementary_mathematics
Maatiin Sojourn boqonnaaf deeman. $2000n jalqaban. Guyyaatti $150 yoo baasan, hima kamtu guyyoota x booda maallaqa meeqa akka qaban turan bakka bu’a?	['1850x', '2000 −150x', '150x', '2000 +150x']	B	elementary_mathematics
Baattichi kitaabota afur ofirratti qaba. Ulfaatinni, paawundiin, tokkoon tokkoon kitaabota afran baatticha irratti argaman 2.5, 3.2, 2.7, 2.3 hima walcaalmaa kamtu ulfaatina, w, kitaaba kamiyyuu baattoo irraa filatame bakka bu’a?	['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']	D	elementary_mathematics
Lakkoofsa kamtu gat-sirrii 5 ol qaba?	['-6', '-5', '0', '5']	A	elementary_mathematics
Gatiin hima  2(3(4^2 + 1)) - 2^3 meeqa?	['156', '110', '94', '48']	C	elementary_mathematics
Gwen akkina lakkoofsa armaan gadii waraqaa irratti barreessiteetti. 1, 5, 9, 13 marsaan lamaan itti aanan akkaataa Gwen keessetti maal fa’a?	['15, 17', '15, 19', '17, 19', '17, 21']	D	elementary_mathematics
Yoo peeriin qaruuraa 3 $2.37 ta'e peerii qaruuraa meeqa $9.48n bitachuu dandeessa?	['qaruuraa 3', 'qaruuraa 12', 'qaruuraa 36', 'qaruuraa 13']	B	elementary_mathematics
Guddaa irraa hanga xiqqaatti tartiibessi: 3, 3 fi 1 irra 8,3.8,3.18.	['3.18, 3 fi 1 irra 8, 3.8,3', '3,3 fi 1 irra 8, 3.18, 3', '3.8, 3 fi 1 irra 8, 3.18, 3', '3.8, 3.18, 3 fi 1 irra 8, 3']	D	elementary_mathematics
22 / 2 + 9 shallagi.	['10', '11', '20', '2']	C	elementary_mathematics
Lakkoofsi ummata magaalaa murtaa'e tokkoo 836,527 dha. Lakkoofsi ummata magaalaa kanaa gara kuma kudhanitti dhihootti naanneffame meeqa ta'a?	['800,000', '830,000', '836,000', '840,000']	D	elementary_mathematics
Bu'aa 5 • (−9) walitti baay'isuu barbaadi.	['14', '-4', '45', '-45']	D	elementary_mathematics
Keekoon guyyaa sana simbirroota ilaaluudhaan kan dabarsitu siʼa taʼu, ganama simbirroota waaree boodaa caalaa 34 lakkaaʼaa turte. Walumaagalatti simbirroota 76 isheen yoo lakkoofte waaree booda simbirroo meeqa lakkoofte?	['simbirroota 21', 'simbirroota 40', 'simbirroota 42', 'simbirroota 84']	A	elementary_mathematics
Gatiin 5 + 2 • 15 + (12 • 4) meeqa?	['78', '83', '131', '153']	B	elementary_mathematics
Haala kamtu firaakshinii 20/8n bakka bu’uu danda’a?	['Leesliin mana daldalaa tokkotti doolaara 20 fi saantima 8 baaseera. Maallaqni Leesliin baase akkamitti akka firaakshiniitti barreeffama?', 'Ilmaan ilmaan Obbo Kramer 8 buskutoota 20 walqixa  qooddatan. Tokkoon tokkoon ilma ilma isaanii buskutoota meeqa argatu?', 'Miich mana daldalaa biqiltuu tokko irraa daraaraa konteenara 20 bite. Tokkoon tokkoon konteenaraa daraaraa 8 of keessaa qaba ture. Miich daraaraa meeqa bite?', 'Chaappaawwan kitaaba xiqqaa chaappaa 20 qabuun gurguramu. Doonaan waamicha affeerraa erguuf chaappaa 8 fayyadamte. Doonaan waamicha ishee erguuf chaappaawwan kitaaba xiqqaa meeqatti fayyadamte?']	B	elementary_mathematics
Baaburri fe’umsaa sa’aatii tokkotti saffisa maayilii 20n sa’aatii 6f yoo deeme fageenya hammamii deema?	['maayilii 120', ' maayilii 80', 'maayilii 26', 'maayilii 12']	A	elementary_mathematics
Tarkaanfii isa kamtu gatii a 6a = 72 keessatti akkamiin argachuu akka dandeenyu ibsa?	"['gama lamaaniin 6 dabali', 'gama lamaanuu 6f hiri', ""gama lamaanuu 6n baay'isi"", ""gama lamaan irraayyu 6 hir'isu""]"	B	elementary_mathematics
Leenjisaan Wu walumaa galatti  kubbaa miilaa 30 qaba. Kubbaawwan miilaa 9 adiidha. Kubbaawwan miilaa hafan halluu adda addaa sadii (cuquliisa, diiminee ykn magariisa) keessaa tokko. Kubbaawwan halluu cuquliisaa, diiminee fi magariisaa walqixatu jiru. Leenjisaan Wu kubbaa miilaa magariisa meeqa qaba?	['7', '10', '21', '39']	A	elementary_mathematics
Haalli qilleensaa  gidduu 6 P.M fi 10 P.Mtti  11°F gadi bu’eera.  Sa'aatii 10 P.M tti 84°F ture. Gatii t kan haala qilleensaa 6 P.M tti barbaaduuf hima walqixaa barreessiiti furi.	['84 − 11 = t; 73°F', 't − 84 = 11; 95°F', '84 − t = 11; 73°F', 't − 11 = 84; 95°F']	D	elementary_mathematics
Tereezaan boorsaa marbilii 72 qabu qabdi turte. Marbilii sana garee walqixa 9tti galchite. Himni lakkoofsaa kamtu lakkoofsa marbilii Tereezaan garee tokkoon tokkoon isaanii keessatti kaa’e akkamitti argachuu akka dandeenyu agarsiisa?	['72 ÷ 9 = 8', '72 – 9 = 63', '9 + 72 = 81', '9 ÷ 72 = 0.125']	A	elementary_mathematics
Roob guyyaa 5tti nyaata adurree saanduqa 1 fayyadamuun adurree isaa nyaachisa. Ji'atti inni tilmaamaan saanduqa nyaata adurree meeqa fayyadama?	['sanduuqa 2', 'sanduuqa 4', 'sanduuqa 5', 'sanduuqa 6']	D	elementary_mathematics
Hiramaan walii xiqqichaa 4 fi 10 maal ta'a?	['14', '20', '40', '60']	B	elementary_mathematics
Bu'aa 4 irra 7 + 2 irra 7 barbaadi. 	['6 irra 14', '8 irra 49', '14 irra 28', '6 irra 7']	D	elementary_mathematics
Waggoota kurnan keessa waggoota meeqatu jira?	['5', '10', '15', '20']	B	elementary_mathematics
Ji'a Amajjii keessa guyyoota 31tu jira. Misheel jiʼa sanatti guyyaa tokkotti dhiibuun ol dhiibuu 45 hojjetaa turte. Hima armaan gadii kana fayyadamtee baay'ina dhiibuun ol dhiibuu isheen baatii Amajjii keessa goote argatte. 31 × 45 Misheel ji'a Amajjii  keessa dhiibuun ol dhiibuu meeqa hojjettee?	['dhiibuun ol dhiibuu 125', 'dhiibuun ol dhiibuu 279', 'dhiibuun ol dhiibuu 1,395', 'dhiibuun ol dhiibuu 1,406']	C	elementary_mathematics
Lakkoofsotni hundaa lama yoo xiqqaate hiramaa walii xiqqichaa 60 qabu. Tokkoon tokkoon lakkoofsa kana 12 gadi ykn walqixadha. Hirmaataan walii guddichaa lakkoofsota lamaanii 2. Lakkoofsotni lamaan kun kam fa'i?	['6 fi 10', '5 fi 12', '10 fi 12', '12 fi 15']	C	elementary_mathematics
x = 2 tiif −2(x − 3) madaali.	['-4', '-2', '10', '2']	D	elementary_mathematics
Ayiskiriimii gosa awunsii 4 keessa kaalorii 230tu jira. Ayskiriimii awunsii 6 keessatti kaalorii meeqatu jira?	['232', '236', '345', '460']	C	elementary_mathematics
Bu'aa 711 fi 497 tilmaami. Ida'amni kun lakkoofsota kam gidduudha?	['50 fi 400', '450 fi 700', '750 fi 1,000', '1,050 fi 1,300']	D	elementary_mathematics
Obbo Kohlberg suuqii abaaboo qabu. Jalqaba guyyaa sanaa irratti abaaboo 152 qaba ture. Obbo Kohlberg erga abaaboo 96 gurguree booda abaaboo hafe baattuu daraaraa 8 gidduutti walqixa addaan baasuu barbaadan. Tokkoon tokkoon baattuu abaaboo keessatti lakkoofsi waliigalaa abaaboo meeqa ta’a?	['7', '12', '48', '56']	A	elementary_mathematics
32 x 68 Tilmaami. Bu'aan isaa lakkoofsa akkamii gidduu jira?	['18 fi 28', '180 fi 280', '1,800 fi 2,800', '18,000 fi 28,000']	C	elementary_mathematics
Hirmaattota kophxii 77 barreessi. Hanga danda’ametti eksaapooneentoota fayyadami.	['7 • 11^2 • 13', '7^2 • 11', '7 • 11 • 13', '7 • 11']	D	elementary_mathematics
Barruuleen tokkoon tokkoon isaanii $2.99, kitaabonni ammoo tokkoon tokkoon isaanii $ 6.99 baasu Old Town Newsstand keessatti. Gatiin waliigalaa barruulee 4 fi kitaabota 3 meeqa ta'a?	['$20.93', '$28.93', '$32.93', '$48.93']	C	elementary_mathematics
Umi akkina lakkoofsaa lakkoofsa itti aanu argachuuf yeroo hunda hamma walfakkaatu dabaluu kan hordofu uume. 20, 40, 60, 80,... Lakkoofsi saddeettaffaan akkinaa kana keessaa maal ta'a?	['160', '240', '320', '640']	A	elementary_mathematics
7 irra 3 akka dessimaaliitti barreessi.	['0.021 deddeebbiidhaan', '0.21 deddeebbiidhaan', '0.22 deddeebbiidhaan', '0.2121']	B	elementary_mathematics
Manni barumsaa Westview uffata yuunifoormii kubbaa kachoo haaraa bitaa jira. Tokkoon tokkoon yuunifoormii $46. Manni barumsichaa uffata yuunifoormii12 ni bita. Hima walqixaa kamtu baasii waliigalaa yuunifoormii argachuuf karaa agarsiisa?	['(40 × 10) + (6 × 2) = 400 + 12', '(40 × 6) + (10 × 2) = 240 + 20', '(40 × 12) + (6 × 12) = 480 + 72', '(40 × 12) + (60 × 12) = 480 + 720']	C	elementary_mathematics
Maanu'eel konkolaataa namni fayyadame tokko doolaara kuma jahaa fi afurtamii sagaliin bite. Konkolaataa namni fayyadame kan Maanu'eel bite akka lakkoofsaatti barraa'e gatiin isaa meeqa?	['$649', '$6,049', '$6,409', '$6,490']	B	elementary_mathematics
Kaleessa Miikiyaas istirooberii lakkoofsa guutuu ta'e nyaate. Appilii lakkoofsa mangoo ta'es nyaate. Gareen kamtu istirooberii, S, fi appilii, A, Miikiyaas kaleessa nyaate bakka bu'uu danda'a?	['SSSSS; AAA', 'SSSSS; AAAA', 'SSSSSSSS; AAAA', 'SSSSSSSS; A']	D	elementary_mathematics
Nyaanni adurree gatii $.47/lb baasa. Borsaan 6-lb gatiin isaa meeqa?	['$2.82', '$2.97', '$6.47', '$12.77']	A	elementary_mathematics
60 irra 72 bifa salphaan barreessi	['4 irra 6', '10 irra 12', '15 irra 17', '5 irra 6']	D	elementary_mathematics
Reeshiyoo kubbaayyaa 2 gara ruubii 3 akka firaakshiniitti bifa salphaa ta’een barreessi.	['3 irra 2', '2 irra 3', '2 irra 12', '1 irra 6']	D	elementary_mathematics
Manni Kitaabaa Miils kitaabota 1,007,199 qaba. Manni kitaabaa Springvale kitaabota 907,082 qaba. Kanneen armaan gadii keessaa Manni Kitaabaa Miils Mana Kitaabaa Springvale caalaa kitaabota meeqa akka qabu tilmaamni gaariin isa kami?	['kitaabota 100,000', 'kitaabota 80,000', 'kitaabota 10,000', 'kitaabota 8,000']	A	elementary_mathematics
Paat kubbaa kachoo tokko sekondii 30 keessatti yeroo 25 utaalchiseera. Saffisa sanaan, Paat sekondii 150 keessatti kubbaa sana tilmaamaan yeroo meeqa ni utaalchisa?	['120', '125', '144', '145']	B	elementary_mathematics
Ida'ama −9 + (−8) argachuuf sarara lakkoofsaa fayyadami.	['-17', '1', '-1', '17']	A	elementary_mathematics
Hima walqixaa y/4 = 8 keessatti gatiin y maali?	['2', '4', '12', '32']	D	elementary_mathematics
4 fi 4 irra 5 akka firaakshinii sirrii hin ta'iinitti barreessi.	['28 irra 5', '4 irra 5', '24 irra 5', '20 irra 5']	C	elementary_mathematics
Ulfaatinni wanta ji’a irra jiru, m, gara q kan ulfaatina wanta lafa irra jiruu e ti. Hima walqixaa kamtu tilmaama ulfaatina wanta ji’a irra jiruu ulfaatina wanti sun lafa irratti qabuun bakka bu’a?	['m = 1/6 + e', 'm = e/6', 'm = 6+e', 'm = 6e']	B	elementary_mathematics
8 + 8 ÷ 2 + 2 =	['4', '8', '10', '14']	D	elementary_mathematics
Gatiin y kamtu y + 2.9 = 11 dhugaa taasisa?	['8.1', '8.9', '9.1', '13.9']	A	elementary_mathematics
kofa 40° kan dabalatu maali?	['50°', '130°', '140°', '220°']	C	elementary_mathematics
Keeriin fiigicha adda addaa afur irratti fageenya wal fakkaatu fiigde. Sa'aatiin ishee sekondii 18.04, sekondii 21.39, sekondii 12.99 fi sekondii 14.14 ture. Yeroon dhuunfaa gara sekondii tokko-kurnaffaa isa dhiyootti yoo naanneffaman, tilmaamni yeroo waliigalaa Keerii fiigicha afran hundaaf meeqa ta'a?	['seekoondii 66.6', 'seekoondii 66.5', 'seekoondii 66', 'seekoondii 65.5']	B	elementary_mathematics
3 irra 4* x = 24 furi.	['18', '32', '72', '96']	B	elementary_mathematics
Deebii sirrii barbaadi: 110 + 70	['18', '81', '180', '810']	C	elementary_mathematics
Manni bineensaa tokko tuukaanota 15 fi paarota 60 qaba. Reeshiyoon baay’ina tuukaanotaa gara baay’ina paarota mana bineensotaa keessa jiranii meeqa ta'a?	['1:04', '1:05', '4:01', '4:05']	A	elementary_mathematics
Hirataan walii guddichaa 36 fi 90 maal ta'a?	['6', '18', '36', '180']	B	elementary_mathematics
Gatii 6 • 24 ÷ (8 − 5) barbaadi.	['48', '13', '-13', '54']	A	elementary_mathematics
Hirataan walii guddichaa 42 fi 84 maal ta'a?	['7', '21', '42', '84']	C	elementary_mathematics
Aadde Gutierrez kutaa jiimii ishee barattoota 32f funyoo ajajuu barbaaddi. Tokkoon tokkoon barattootaa funyoo dheerinni isaa faana-lukaa 5 fi inchii 8 ta’e ni argatu. Dheerinni funyoo waliigalaa Aadde Gutierrez daree isheef ajajuu barbaadaa jirtu meeqa ta'a?	['faana-lukaa 106 inchii 8', 'faana-lukaa 154 inchii 8', 'faana-lukaa 160 inchii 8', 'faana-lukaa 181 inchii 4']	D	elementary_mathematics
Ji'a Muddee keessa manni kuusaa tooyiichaa mammaaksoota 934 gurgureera. Tokkoon tokkoon mammaaksa gibira dabalatee $6 baasa ture. Gibira dabalatee baasiin waliigalaa mammaaksoota gurguramanii meeqa ture?	['$5,434', '$5,484', '$5,604', '$5,684']	C	elementary_mathematics
Safartuun, digriidhaan, kofa 1/360 geengoo tokkoo wajjin walqixa ta’e maali?	['1', '90', '180', '360']	A	elementary_mathematics
Lakkoofsa hima kana dhugaa taasisu barbaadi: 26.1 mm = _ dm.	['0.261', '261', '2.61', '2,610']	A	elementary_mathematics
Uffanni Saalaad kan irraa hojjetame qomxaaxxee kutaa 2 zayita kutaa 5 waliin walitti makuun. Zayitiin awunsii meeqa awunsii vinegarii 9 waliin makama qaba?	['2', '3.6', '22.5', '63']	C	elementary_mathematics
Dinagdee jireenyaaf oolu dinagdeedhaan akka hin tarkaanfanne kan dhorku inni guddaan hanqina maaliiti? 	['jijjiirraa maallaqaa', 'bu’uuraalee geejjibaa walitti hidhamiinsa gaarii qaban.', 'sochii mootummaa ', 'tajaajila baankii']	B	high_school_geography
Amalli ummanni tokko erga dhalli bakka bu’aa argamee yeroo dheeraaf guddachuu itti fufuu maal jedhama?	['guddina baay’ina ummataa zeeroo ', 'saffisa guddina ariifataa.', 'lafa diriiraa.   madaallii walqixxummaa tasgabbii qabu eeguu', 'saffisa amala adda addaa ummata tokkoo']	D	high_school_geography
Amalli godaansaaf fageenya waliin hir'isuu maal jedhama?	"['dhiibaa sababootaa', 'harkisa sababootaa', ""hir'ina walitti dhufeenya dhiibbaa fageenyaan dhufe"", 'filannoo godaansaa']"	C	high_school_geography
Zooniin manneen jireenyaa galii xiqqaa qaban, geetoo sabaa fi manca’iinsa waliigalaa moodeela zoonii giddugaleessaa Burgess kan bifa magaalaa keessatti argamu of keessaa qabu isa kami?	['tokkoffaa', 'lammaffaa', 'sadaffaa', 'afraffaa']	A	high_school_geography
Dubartoota humna hojjetaa keessa jiran ilaalchisee ibsa armaan gadii keessaa kamtu DHUGAA dha?	"[""Dubartoonni baay'een isaanii qonna keessa hojjetu"", 'Dhibbeentaan dubartoota hojii humnaa keessatti dinagdeen socho’an addunyaa guutuutti gadi bu’eera', 'Hojjetaa humnaa waliigalaa keessatti dhibbeentaan dubartootaa gadi bu’eera', 'Anglo America fi Australia irraa kan hafe naannoo hunda keessatti dubartoonni guyyaatti sa’aatii baay’ee dhiirota caalaa hojiidhaan dabarsu']"	D	high_school_geography
Tokkorraan kan hafe qabxiileen armaan gadii hundinuu akka qabxiilee harkisa godaansaatti fudhatamuu danda'u 	['nageenya.', 'haala qilleensaa fooyya’aa ta’e qaba.', 'manneen barnootaa fooyya’oo ta’an.', 'garmalee walitti qabamuu.']	D	high_school_geography
Biyyoota armaan gadii keessaa fakkeenya daangaa beekamaa kan hin qabne isa kami?	['Veetinaam', 'Yuunaaytid Isteet', 'Jarman', 'Booliiviyaa']	D	high_school_geography
Bifa godaansa armaan gadii keessaa hojjettoonni qonnaa biyya biraa irraa dhufan waggaa keessatti shaakaluudhaaf carraa guddaa qaban isa kami?	['godaansa hidhataa', 'godaansa kilaastaraa', 'godaansa geengoo', 'godaansa idil-addunyaa']	C	high_school_geography
Biyya tokko keessatti humna seentirifuugii kan ta'e kanneen armaan gadii keessaa isa kami?	['garaagarummaa amantaa', 'ayyaana biyyaalessaa', 'lola biyyaa biroodhaanii', 'hoggansa hawwataa biyyaalessaa']	A	high_school_geography
Qubsumni jalqabaa fi baay’inni ummataa olaanaa qarqara galaanaa fi lageen kanneen armaan gadii keessaa isa kamiin kan walqabatu gaarii dha?	"['haala qilleensa meditiraaniyaanii', ""uwwisa bosonaa daanga'e"", 'guddina oomishaa', 'daandii daldalaa argachuu']"	D	high_school_geography
Sadarkaan jalqabaa agarsiisa ce’umsa caasaa uummataa	"['saffisa da’umsaa ol’aanaa kan qabu yoo ta’u, saffisa du’aa garuu jijijjiiramaa ta’e qaba.', ""itti fufinsaan dabaluu saffisa du'aa waliin saffisni da'umsaa gad bu'uu"", ""itti fufinsaan dabaluu saffisa du'aa waliin saffisa da'umsaa xiqqoo"", ""saffisa da'umsaa olaanaa waliin gad bu'uu saffisa du'aa ""]"	A	high_school_geography
Istaatiksii uummataa isa kamtu sadarkaa dhala godhachuu uummanni maatii bakka bu'uu fi dafanii du'uu beenyaa kafaluuf da’umsa gahaa qofa akka qabaatu nutti hima?	"[""saffisa daa'imman dhalatanii"", ""sadarkaa bakka bu'umsaa"", ""saffisa du'aa"", 'saffisa dhala godhachuu walii galaa']"	B	high_school_geography
Amantiin yeroo ammaa Ameerikaa keessatti saffisaan guddachaa jiru maali?	['Islaama', 'Kiristaana', 'Hinduuyiizimii', 'Budhiizimii']	A	high_school_geography
Iddoon jidduu magaalaa irraa xiqqoo ba'aa ta'e giddugala magaalaatti tajaajila kan kennu maal jedhama?	['naannoo sarara diimaa', 'balbala seensaa', 'hamma garaagarummaa', 'lafa qarqara galaanaa duuba jiru']	D	high_school_geography
hiikaan naannoo magaalaa inni gaariin	['magaalaa giddu galeessaa fi naannoowwan ishee kan guddatan.', 'magaalaa giddu galeessaa fi naannoo ishee.', 'magaalaa giddugaleessaa fi lafa isaa qarqara galaanaa duuba jiruu', 'magaalaa giddugaleessaa fi biyyoota ollaa']	B	high_school_geography
Amantiiwwan armaan gadii keessaa jalqaba kan guddate kami?	['Budhiizimii', 'Kiristaanummaa', 'Islaama', 'Hinduuyizimii']	D	high_school_geography
